"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2017","144.80","143.60","145.00","141.70","3.01M","0.91"
"Oct 17, 2017","143.50","144.10","149.00","143.50","6.38M","0.14"
"Oct 13, 2017","143.30","139.00","143.30","138.70","2.95M","3.32"
"Oct 12, 2017","138.70","139.40","139.50","137.60","1.90M","-0.86"
"Oct 11, 2017","139.90","137.00","139.90","136.50","2.60M","2.49"
"Oct 10, 2017","136.50","134.40","136.50","134.00","1.34M","1.56"
"Oct 09, 2017","134.40","134.00","135.00","133.50","1.13M","0.83"
"Oct 06, 2017","133.30","135.00","135.50","133.30","1.88M","-0.82"
"Oct 05, 2017","134.40","135.00","135.10","134.00","3.44M","-0.44"
"Oct 04, 2017","135.00","132.60","135.50","132.60","3.83M","2.12"
"Oct 03, 2017","132.20","130.00","134.00","130.00","4.15M","1.69"
"Oct 02, 2017","130.00","131.00","131.50","130.00","1.27M","-0.54"
"Sep 29, 2017","130.70","130.30","131.40","130.00","1.77M","0.54"
"Sep 28, 2017","130.00","130.00","132.00","129.80","3.81M","0.23"
"Sep 27, 2017","129.70","129.50","130.10","129.00","3.13M","0.15"
"Sep 26, 2017","129.50","129.50","129.50","129.00","2.66M","0.08"
"Sep 25, 2017","129.40","129.30","129.50","128.90","754.75K","0.08"
"Sep 22, 2017","129.30","129.80","129.80","128.90","1.77M","-0.39"
"Sep 21, 2017","129.80","129.90","130.00","129.20","1.93M","-0.08"
"Sep 20, 2017","129.90","130.00","130.30","129.70","3.55M","0.08"
"Sep 19, 2017","129.80","130.30","130.30","129.40","3.83M","-0.23"
"Sep 18, 2017","130.10","128.90","130.60","128.90","3.01M","0.93"
"Sep 15, 2017","128.90","129.80","129.80","128.50","4.55M","-0.69"
"Sep 14, 2017","129.80","128.90","130.00","128.60","2.49M","0.78"
"Sep 13, 2017","128.80","128.30","129.00","128.20","5.24M","0.63"
"Sep 11, 2017","128.00","127.90","128.40","127.70","2.24M","0.23"
"Sep 08, 2017","127.70","128.00","128.00","127.50","2.04M","-0.16"
"Sep 07, 2017","127.90","128.00","128.10","127.50","2.33M","0.31"
"Sep 06, 2017","127.50","128.00","128.20","127.00","4.24M","-0.78"
"Sep 05, 2017","128.50","128.00","128.50","128.00","2.44M","0.00"
"Sep 04, 2017","128.50","128.00","129.20","127.10","2.92M","1.10"
"Aug 31, 2017","127.10","128.00","128.10","127.00","2.40M","-0.70"
"Aug 30, 2017","128.00","128.00","128.40","127.40","2.14M","0.16"
"Aug 29, 2017","127.80","128.00","128.60","127.50","2.06M","0.55"
"Aug 25, 2017","127.10","127.40","127.40","126.70","3.62M","-0.31"
"Aug 24, 2017","127.50","127.80","128.20","126.70","1.36M","-0.31"
"Aug 23, 2017","127.90","128.60","129.40","127.90","1.64M","-0.54"
"Aug 22, 2017","128.60","130.20","130.20","128.60","2.00M","-1.23"
"Aug 18, 2017","130.20","130.00","130.50","129.50","1.35M","-0.31"
"Aug 17, 2017","130.60","128.90","131.10","128.80","3.60M","1.40"
"Aug 16, 2017","128.80","128.80","130.20","128.50","2.32M","0.00"
"Aug 15, 2017","128.80","129.50","130.00","128.60","1.20M","-0.16"
"Aug 14, 2017","129.00","129.30","130.50","129.00","814.25K","-0.23"
"Aug 11, 2017","129.30","129.90","129.90","129.10","1.40M","-0.54"
"Aug 10, 2017","130.00","130.00","131.00","129.10","1.26M","0.00"
"Aug 09, 2017","130.00","130.00","130.40","127.90","1.29M","-0.76"
"Aug 08, 2017","131.00","130.00","132.10","129.90","6.09M","1.55"
"Aug 07, 2017","129.00","128.00","129.80","127.50","4.28M","1.18"
"Aug 04, 2017","127.50","127.60","129.00","127.00","1.52M","0.39"
"Aug 03, 2017","127.00","127.00","129.10","126.90","2.65M","0.79"
"Aug 02, 2017","126.00","125.00","131.70","125.00","4.80M","1.20"
"Aug 01, 2017","124.50","125.50","125.50","124.20","2.33M","-1.11"
"Jul 31, 2017","125.90","125.10","125.90","123.80","1.96M","0.72"
"Jul 28, 2017","125.00","122.90","125.00","122.80","2.69M","1.71"
"Jul 27, 2017","122.90","123.50","124.30","122.60","2.20M","-0.32"
"Jul 26, 2017","123.30","122.20","123.70","122.10","1.54M","0.90"
"Jul 25, 2017","122.20","123.50","123.50","122.00","647.89K","-1.05"
"Jul 24, 2017","123.50","123.00","123.80","122.00","596.43K","-0.32"
"Jul 21, 2017","123.90","122.10","123.90","120.00","2.87M","1.98"
"Jul 20, 2017","121.50","122.40","123.00","121.50","6.69M","-0.57"
"Jul 19, 2017","122.20","122.10","122.40","121.90","3.29M","0.08"
"Jul 18, 2017","122.10","123.00","123.20","121.70","2.15M","-0.57"
"Jul 17, 2017","122.80","124.00","124.00","122.20","1.67M","-0.57"
"Jul 14, 2017","123.50","124.50","124.50","123.00","6.55M","-0.80"
"Jul 13, 2017","124.50","124.50","125.00","123.40","1.95M","0.24"
"Jul 12, 2017","124.20","124.30","124.40","123.60","2.58M","-0.16"
"Jul 11, 2017","124.40","123.90","124.40","123.60","1.28M","0.40"
"Jul 10, 2017","123.90","123.90","124.90","123.90","1.24M","0.08"
"Jul 07, 2017","123.80","123.60","124.00","123.50","1.30M","0.16"
"Jul 06, 2017","123.60","123.10","123.90","122.70","1.15M","0.41"
"Jul 05, 2017","123.10","123.80","123.80","122.10","671.07K","0.08"
"Jul 04, 2017","123.00","124.00","124.20","123.00","1.02M","-0.81"
"Jul 03, 2017","124.00","123.50","124.00","122.00","1.04M","0.00"
"Jun 30, 2017","124.00","121.00","124.00","120.20","2.41M","2.48"
"Jun 29, 2017","121.00","122.00","122.20","119.70","1.02M","-0.90"
"Jun 28, 2017","122.10","122.00","122.50","121.70","1.57M","-0.16"
"Jun 27, 2017","122.30","120.60","122.30","120.60","1.38M","1.41"
"Jun 23, 2017","120.60","121.10","121.20","120.40","2.19M","-0.33"
"Jun 22, 2017","121.00","120.40","121.00","120.30","2.55M","0.50"
"Jun 21, 2017","120.40","120.70","121.00","118.80","2.11M","-0.50"
"Jun 20, 2017","121.00","121.50","121.80","120.50","1.70M","-0.25"
"Jun 19, 2017","121.30","122.20","122.20","120.90","2.66M","-0.57"
"Jun 16, 2017","122.00","123.50","123.60","122.00","6.47M","-1.37"
"Jun 15, 2017","123.70","123.20","125.00","123.20","1.27M","-0.08"
"Jun 14, 2017","123.80","123.40","124.20","123.20","1.38M","0.32"
"Jun 13, 2017","123.40","123.80","123.80","122.40","3.07M","-0.32"
"Jun 09, 2017","123.80","123.50","124.40","123.30","1.38M","0.24"
"Jun 08, 2017","123.50","124.50","124.80","123.00","1.64M","-0.80"
"Jun 07, 2017","124.50","124.30","124.80","124.10","1.40M","0.16"
"Jun 06, 2017","124.30","124.50","124.60","123.70","1.20M","-0.24"
"Jun 05, 2017","124.60","123.90","125.00","123.90","2.24M","0.56"
"Jun 02, 2017","123.90","123.00","124.50","123.00","2.02M","0.73"
"Jun 01, 2017","123.00","122.50","123.30","122.40","3.02M","0.41"
"May 31, 2017","122.50","122.00","122.60","122.00","4.24M","0.41"
"May 30, 2017","122.00","122.00","122.30","121.70","903.24K","-0.16"
"May 29, 2017","122.20","120.80","122.20","120.70","1.63M","1.08"
"May 26, 2017","120.90","120.40","121.20","120.40","1.53M","0.33"
"May 25, 2017","120.50","121.10","121.20","120.50","1.38M","-0.41"
"May 24, 2017","121.00","120.00","121.40","120.00","1.39M","0.17"
"May 23, 2017","120.80","121.40","121.70","120.00","1.35M","-0.49"
"May 22, 2017","121.40","121.50","122.10","121.00","1.05M","0.17"
"May 19, 2017","121.20","120.10","121.50","120.10","1.48M","0.33"
"May 18, 2017","120.80","121.90","121.90","120.00","2.12M","-1.39"
"May 17, 2017","122.50","122.00","122.70","121.60","1.81M","0.57"
"May 16, 2017","121.80","122.10","122.10","121.80","1.75M","0.00"
"May 15, 2017","121.80","122.20","122.60","121.30","1.92M","-0.33"
"May 12, 2017","122.20","121.70","122.30","121.50","1.51M","0.41"
"May 11, 2017","121.70","120.00","121.80","120.00","2.00M","1.84"
"May 10, 2017","119.50","122.80","123.50","119.50","2.52M","-2.77"
"May 09, 2017","122.90","123.90","124.80","122.20","2.56M","-0.81"
"May 08, 2017","123.90","123.00","123.90","123.00","3.10M","0.73"
"May 05, 2017","123.00","121.10","123.30","121.10","4.03M","1.57"
