"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2017","103.00","101.00","103.00","100.00","676.80K","2.49"
"Oct 17, 2017","100.50","101.00","101.20","99.90","642.76K","-0.50"
"Oct 13, 2017","101.00","101.00","101.00","100.20","444.08K","0.00"
"Oct 12, 2017","101.00","102.00","102.00","100.80","498.30K","-0.98"
"Oct 11, 2017","102.00","102.00","102.20","101.50","533.09K","0.10"
"Oct 10, 2017","101.90","101.00","102.30","101.00","530.44K","0.89"
"Oct 09, 2017","101.00","100.00","101.00","99.75","885.32K","1.00"
"Oct 06, 2017","100.00","98.00","100.00","98.00","571.08K","2.04"
"Oct 05, 2017","98.00","98.00","98.05","97.20","996.11K","0.36"
"Oct 04, 2017","97.65","98.00","98.00","97.20","143.70K","-0.36"
"Oct 03, 2017","98.00","97.50","98.00","97.10","176.29K","0.41"
"Oct 02, 2017","97.60","98.00","98.15","97.60","271.89K","-0.71"
"Sep 29, 2017","98.30","97.00","98.70","97.00","355.72K","0.31"
"Sep 28, 2017","98.00","97.50","98.00","97.20","403.05K","0.41"
"Sep 27, 2017","97.60","97.40","97.80","97.20","243.52K","0.21"
"Sep 26, 2017","97.40","98.00","98.00","96.90","540.33K","-0.61"
"Sep 25, 2017","98.00","98.00","98.00","97.40","124.60K","0.26"
"Sep 22, 2017","97.75","97.70","98.00","97.50","39.85K","0.10"
"Sep 21, 2017","97.65","98.20","98.20","97.55","153.55K","0.46"
"Sep 20, 2017","97.20","98.10","98.45","97.20","139.40K","-0.87"
"Sep 19, 2017","98.05","98.00","98.50","97.95","168.61K","-0.05"
"Sep 18, 2017","98.10","97.50","98.45","97.50","159.68K","0.62"
"Sep 15, 2017","97.50","97.40","97.90","97.35","706.70K","0.21"
"Sep 14, 2017","97.30","97.95","97.95","97.25","495.89K","-0.15"
"Sep 13, 2017","97.45","97.20","98.00","97.10","250.10K","0.26"
"Sep 11, 2017","97.20","97.90","98.00","97.05","263.82K","0.21"
"Sep 08, 2017","97.00","96.65","98.80","96.65","309.02K","0.41"
"Sep 07, 2017","96.60","98.00","98.10","96.60","207.37K","-1.53"
"Sep 06, 2017","98.10","98.90","98.90","97.50","100.39K","-0.81"
"Sep 05, 2017","98.90","99.00","99.50","98.80","30.21K","-0.10"
"Sep 04, 2017","99.00","99.50","99.50","98.90","189.00K","-1.00"
"Aug 31, 2017","100.00","100.00","100.00","99.45","55.52K","0.00"
"Aug 30, 2017","100.00","100.00","100.00","99.60","47.40K","0.00"
"Aug 29, 2017","100.00","100.50","101.00","99.50","51.15K","-0.50"
"Aug 25, 2017","100.50","99.50","100.50","99.00","80.21K","0.80"
"Aug 24, 2017","99.70","99.70","99.70","99.30","51.47K","0.00"
"Aug 23, 2017","99.70","100.70","100.70","98.50","53.73K","-1.29"
"Aug 22, 2017","101.00","99.35","101.00","97.20","198.02K","1.66"
"Aug 18, 2017","99.35","100.50","100.50","98.50","138.13K","-1.05"
"Aug 17, 2017","100.40","100.00","100.80","99.85","41.30K","0.40"
"Aug 16, 2017","100.00","101.30","101.30","99.75","112.87K","-1.38"
"Aug 15, 2017","101.40","101.40","101.40","100.50","27.82K","0.00"
"Aug 14, 2017","101.40","101.60","101.60","99.80","93.50K","-0.20"
"Aug 11, 2017","101.60","101.60","101.60","100.30","64.17K","0.00"
"Aug 10, 2017","101.60","101.50","101.60","100.00","81.60K","0.10"
"Aug 09, 2017","101.50","101.30","101.50","99.75","134.39K","0.50"
"Aug 08, 2017","101.00","101.30","101.40","100.50","58.93K","-0.30"
"Aug 07, 2017","101.30","101.10","101.40","101.10","45.33K","0.00"
"Aug 04, 2017","101.30","101.30","101.30","100.00","124.54K","0.00"
"Aug 03, 2017","101.30","100.30","101.30","100.00","59.37K","0.90"
