"Date","Price","Open","High","Low","Vol.","Change %"
17-Jul-17,858.5,862.5,862.5,857.5,41.12K,0.64
14-Jul-17,853,875,875,853,331.46K,-1.95
13-Jul-17,870,878,881.5,857.5,357.86K,-0.68
12-Jul-17,876,867.5,878,867.5,118.81K,0.98
11-Jul-17,867.5,859.5,868,854.5,113.55K,1.46
10-Jul-17,855,871,875,853,86.10K,-1.72
7-Jul-17,870,869,870,869,119.99K,-0.23
6-Jul-17,872,864,873,860,189.85K,1.4
5-Jul-17,860,855,860,851,316.24K,1.18
4-Jul-17,850,851,856,849,147.63K,-0.12
3-Jul-17,851,858,858,841,114.73K,0.12
30-Jun-17,850,840,855,837,485.68K,1.19
29-Jun-17,840,841.5,844,838,346.26K,-0.18
28-Jun-17,841.5,842,842.5,837,401.04K,-0.12
27-Jun-17,842.5,840.5,854,840.5,208.25K,0.24
23-Jun-17,840.5,855,857,837,251.26K,-1.7
22-Jun-17,855,843,855,840,128.42K,1.6
21-Jun-17,841.5,856,856,837.5,438.96K,-1.92
20-Jun-17,858,859.5,859.5,857,236.87K,-0.23
19-Jun-17,860,850,864.5,850,144.37K,1.18
16-Jun-17,850,867,867,850,547.41K,-1.96
15-Jun-17,867,869.5,879,866.5,151.38K,-0.06
14-Jun-17,867.5,860,870,859,244.88K,0.87
13-Jun-17,860,873,873,858,448.69K,-1.04
9-Jun-17,869,872.5,884,869,382.74K,-0.11
8-Jun-17,870,871,885,869,470.54K,0
7-Jun-17,870,882.5,893,870,517.45K,-1.36
6-Jun-17,882,895,896,882,557.90K,-1.34
5-Jun-17,894,892,899,891,168.16K,0.22
2-Jun-17,892,873,893.5,872.5,308.55K,2.18
1-Jun-17,873,874,876.5,869,676.82K,0.58
31-May-17,868,870,871,868,579.28K,-0.12
30-May-17,869,872,874,865,225.62K,0.23
29-May-17,867,867,873,867,294.44K,0.12
26-May-17,866,867,867.5,865.5,398.42K,-0.12
25-May-17,867,870,870,867,298.64K,-0.34
24-May-17,870,868,872,866,165.80K,0
23-May-17,870,872,875.5,869,336.27K,-0.23
22-May-17,872,864.5,879.5,864,114.61K,0.87
19-May-17,864.5,863,865.5,861,111.28K,-0.12
18-May-17,865.5,868.5,868.5,861,219.02K,-0.4
17-May-17,869,867.5,871,864,232.38K,0.35
16-May-17,866,864,870,860.5,375.98K,0.23
15-May-17,864,868.5,870,855,315.88K,-0.52
12-May-17,868.5,865,869.5,855,200.00K,0.06
11-May-17,868,860,872,855,287.90K,0.93
10-May-17,860,883,885,860,457.98K,-2.6
9-May-17,883,890,893.5,880.5,367.56K,-0.79
8-May-17,890,878,890,878,370.25K,1.37
5-May-17,878,879,886,870,253.04K,-0.34
4-May-17,881,869,885.5,866,204.08K,1.5
3-May-17,868,868,873,868,202.34K,0.12
2-May-17,867,867,870,864.5,230.03K,0.06
27-Apr-17,866.5,879,880,865,128.17K,-1.42
26-Apr-17,879,878,879,868,160.40K,0.23
25-Apr-17,877,869.5,882,869.5,487.26K,1.15
24-Apr-17,867,863,867,860,86.12K,0.7
21-Apr-17,861,865,865,859,141.04K,0.12
20-Apr-17,860,855,860.5,848,159.51K,0.41
19-Apr-17,856.5,855,860,855,150.22K,-0.29
18-Apr-17,859,859,865,852,92.52K,0
17-Apr-17,859,859,860,850.5,109.57K,0.23
12-Apr-17,857,858,871.5,848,223.06K,-0.17
11-Apr-17,858.5,861.5,863,855,192.62K,-0.35
10-Apr-17,861.5,863,864,853.5,176.03K,-0.17
7-Apr-17,863,865,870,862,175.57K,-0.23
6-Apr-17,865,888,888,855,150.57K,-2.81
5-Apr-17,890,876,890,875,272.70K,1.71
4-Apr-17,875,849,883,845,312.37K,3.06
3-Apr-17,849,845,850,840,107.93K,0.47
31-Mar-17,845,842,845,833,169.55K,0.36
30-Mar-17,842,842,845,841.5,913.98K,0
29-Mar-17,842,841,845,830,318.18K,0.12
28-Mar-17,841,828.5,841,828.5,191.44K,1.88
27-Mar-17,825.5,833,837,818,495.52K,-2.31
24-Mar-17,845,845,846,835,443.81K,0
23-Mar-17,845,830,845,830,183.95K,1.56
22-Mar-17,832,826.5,832,815,356.70K,0.54
21-Mar-17,827.5,830,835,819.5,434.03K,-0.3
20-Mar-17,830,838,840,815.5,122.06K,0
17-Mar-17,830,831,850,830,649.81K,0.36
16-Mar-17,827,821,832,821,347.61K,0.85
15-Mar-17,820,821,824,810,101.86K,0
14-Mar-17,820,820,822,815,418.12K,-0.24
13-Mar-17,822,815,822,815,90.77K,0.86
10-Mar-17,815,821.5,821.5,810,443.55K,-0.61
9-Mar-17,820,822,825,816.5,417.95K,-0.24
8-Mar-17,822,820,830,820,282.38K,0.31
7-Mar-17,819.5,823,825.5,817,553.49K,-0.43
6-Mar-17,823,802,825,800.5,170.39K,0.37
3-Mar-17,820,803,820,793.5,264.60K,2.12
2-Mar-17,803,788,808,788,276.83K,2.42
1-Mar-17,784,788,788.5,784,125.75K,-0.51
28-Feb-17,788,793,793,786,321.09K,-0.63
27-Feb-17,793,801,803,791,118.50K,-1
24-Feb-17,801,816.5,817,801,218.50K,-1.96
23-Feb-17,817,805,818,800,217.12K,1.49
22-Feb-17,805,792,807,783.5,142.37K,1.64
21-Feb-17,792,787,793,780,105.65K,0.64
20-Feb-17,787,789.5,789.5,778.5,132.85K,0.77
17-Feb-17,781,799,799,777,218.03K,-0.89
16-Feb-17,788,786.5,794,785,563.53K,0.25
15-Feb-17,786,800,800,786,136.00K,-1.75
14-Feb-17,800,808.5,808.5,799,282.95K,-1.11
13-Feb-17,809,793,809.5,793,157.77K,2.02
10-Feb-17,793,798.5,798.5,782.5,122.96K,-0.5
9-Feb-17,797,787.5,800,777,227.91K,1.21
8-Feb-17,787.5,787,790,784,104.46K,0.96
7-Feb-17,780,791,792,776.5,322.54K,-2.5
6-Feb-17,800,795.5,801,795,143.34K,0.63
3-Feb-17,795,814,814,785.5,184.49K,-0.87
2-Feb-17,802,815,818,800,162.21K,-1.6
1-Feb-17,815,810,815,804,174.35K,1.88
31-Jan-17,800,806.5,812,800,175.85K,-2.38
30-Jan-17,819.5,805,820,802,66.78K,2.44
27-Jan-17,800,811,817,800,107.23K,-1.36
26-Jan-17,811,810,817,808.5,226.08K,-0.37
25-Jan-17,814,833,833,814,83.59K,-2.4
24-Jan-17,834,812,837,802.5,813.34K,2.71
23-Jan-17,812,793.5,812,790,262.89K,3.05
20-Jan-17,788,790,794,785,277.15K,-1.5
19-Jan-17,800,784.5,800,784.5,179.86K,1.98
18-Jan-17,784.5,785,789,783,237.24K,-0.7
17-Jan-17,790,785,797,780,226.42K,0.45
16-Jan-17,786.5,795.5,795.5,773,148.70K,-0.69
13-Jan-17,792,793.5,797.5,790,353.42K,-0.19
12-Jan-17,793.5,796.5,799.5,790.5,125.72K,-0.31
11-Jan-17,796,794,797,787,559.30K,0.38
10-Jan-17,793,787.5,797,784,392.63K,1.08
9-Jan-17,784.5,786.5,790,770.5,175.92K,-0.25
6-Jan-17,786.5,780,794.5,780,387.74K,-0.44
