Price	Open	High	Low
74.85	75	75	74
75	74.8	75.45	74.15
74.8	75.75	75.75	74.4
74.8	75.5	75.75	74.7
75.5	75.5	75.7	75.45
75.4	74.6	75.5	74.6
75.2	73.65	75.2	73.65
73.5	73.8	75.3	73.4
73.45	75.3	75.5	73.45
75.2	75.2	75.3	74.35
75.2	74.95	75.2	74.25
75	74	75	73.35
73.3	73.4	74.05	73.3
73.3	74.8	74.8	73.3
74.5	74.2	74.5	73.3
74.2	73.4	74.2	73.4
74	73.3	74	73.25
73.9	73.6	73.9	73.35
73.95	73.5	73.95	73.25
73.5	73.8	74	73.35
73.5	73.95	74	73.25
73.95	73.95	74.45	73.1
74	73.6	74	72.75
73.5	73	73.9	72.8
73	73.5	73.8	72.8
72.9	73.9	73.9	72.85
72.75	74	74	72.75
73.55	74	74.1	73.5
74	74	74	73.55
74	73.85	74.15	73.5
74.2	74.45	74.45	73.7
74.45	74.3	74.45	73.2
74.3	73.2	74.3	73.15
74	73.65	74.25	73.25
74.05	74.25	74.25	73.55
74.25	73.55	74.25	73.1
73.15	74	74	73.1
73.3	73.1	73.45	73.1
73.2	74.3	74.3	73.05
74	73.75	74.45	73.3
73.75	73.95	74.2	73.25
73.4	74.3	74.3	73.35
73.7	74.2	74.2	73.15
73	74.5	74.9	72.55
74.95	73.5	74.95	73.5
74.05	74.1	74.25	73.4
72.55	75.5	75.5	72.5
74.85	74.9	75.1	74.8
74.95	72.65	74.95	72.5
72.5	72.5	74.3	72.25
72.5	75	75.5	72.5
75.25	75.4	75.4	74.15
75.95	75	75.95	73.5
74.8	75.6	75.6	73.1
75.6	75	75.75	74.8
74.6	74	74.9	73.3
74	74.3	75.05	73.25
74.3	75.7	75.7	74.3
75.7	74	75.7	72.65
72.7	75.5	75.75	72.7
74.9	76	76	74.9
75.7	74.9	75.9	74.9
75.4	75.75	75.75	75.05
75	75.75	75.75	74.6
75.7	75.2	75.8	75.15
75.1	74.35	75.5	74.3
74.35	74.35	75	74.2
75	75.45	75.45	74.95
75.35	75.85	75.85	75.3
75.85	75.85	75.9	75.8
75.9	75.9	75.9	75.2
75.85	75.9	75.9	75.1
75.9	76.15	76.15	75.1
76.15	75.7	76.15	74.45
75.7	75.8	75.8	75.4
75.8	75.8	75.9	75.2
75.8	75.6	76	75
75.85	75.85	75.85	74.2
75	75	75.5	74.9
75.8	75	75.8	74.2
75	75	75.75	73.55
75	74.7	75.25	73.65
73.55	75.8	75.85	73.55
75.8	75.9	75.95	75.05
75.9	75.8	75.9	75.05
75.9	75.3	75.9	75.3
75.3	72.75	75.4	72.75
72.75	73.9	75	71.65
73.9	75.95	76	73.9
75.95	76	76.25	75.1
75.95	76.2	77	75.8
75.8	75.75	76	75.55
76	76.25	76.25	75.7
76.05	75.6	76.1	75.6
76	76	76.3	75.65
76	76	76	75.65
75.95	76	76	75.9
76	76.2	76.25	75.6
76.2	76	76.45	75.6
76.05	76	77.25	76
76	76.8	76.8	75.75
75.8	76.05	76.05	75
76.05	76.1	76.1	75
76.1	75.9	76.6	74.55
75.95	76.4	76.4	75.45
75.7	76	76	75.4
76.05	75.35	76.25	74.8
76.3	75.5	77	75.35
75.5	76.4	76.9	75.5
76.5	76.9	77	76.2
76.9	75.5	76.9	75.45
75.5	76.75	77.5	75.4
76.75	76.6	77	75.85
76.65	77.6	77.6	75.6
76.65	77.5	77.9	75.1
76.8	76.9	77.5	75.9
76.9	77.65	77.9	75.35
77.65	75.95	77.95	75.95
75.35	75.5	76.1	75
75.35	76.5	76.5	75.25
75.3	75.6	75.6	75
75.6	76	76	75.5
76.2	76.5	76.65	74.7
76.3	75.4	76.4	75.35
75.5	75.1	75.7	75.05
75.3	75.35	75.35	74.5
