"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2017","1,236.00","1,250.00","1,255.00","1,230.00","230.19K","-1.12"
"Oct 17, 2017","1,250.00","1,237.00","1,258.00","1,222.00","326.67K","2.46"
"Oct 13, 2017","1,220.00","1,210.00","1,221.00","1,207.00","145.09K","1.24"
"Oct 12, 2017","1,205.00","1,209.00","1,213.00","1,200.00","63.27K","-0.33"
"Oct 11, 2017","1,209.00","1,217.00","1,220.00","1,205.00","58.48K","0.00"
"Oct 10, 2017","1,209.00","1,209.00","1,210.00","1,200.00","128.91K","0.83"
"Oct 09, 2017","1,199.00","1,218.00","1,223.00","1,199.00","87.06K","-1.56"
"Oct 06, 2017","1,218.00","1,237.00","1,250.00","1,218.00","159.02K","-1.54"
"Oct 05, 2017","1,237.00","1,217.00","1,237.00","1,217.00","90.98K","2.15"
"Oct 04, 2017","1,211.00","1,206.00","1,237.00","1,206.00","87.83K","0.50"
"Oct 03, 2017","1,205.00","1,200.00","1,220.00","1,200.00","196.34K","-0.08"
"Oct 02, 2017","1,206.00","1,178.00","1,207.00","1,176.00","202.03K","3.88"
"Sep 29, 2017","1,161.00","1,175.00","1,190.00","1,156.00","197.98K","-1.19"
"Sep 28, 2017","1,175.00","1,189.00","1,189.00","1,170.00","242.44K","-1.26"
"Sep 27, 2017","1,190.00","1,169.00","1,190.00","1,157.00","107.52K","1.88"
"Sep 26, 2017","1,168.00","1,189.00","1,197.00","1,167.00","102.04K","-2.26"
"Sep 25, 2017","1,195.00","1,201.00","1,202.00","1,180.00","19.63K","-0.50"
"Sep 22, 2017","1,201.00","1,180.00","1,204.00","1,180.00","119.83K","2.21"
"Sep 21, 2017","1,175.00","1,168.00","1,185.00","1,168.00","97.25K","0.77"
"Sep 20, 2017","1,166.00","1,156.00","1,186.00","1,155.00","77.06K","1.39"
"Sep 19, 2017","1,150.00","1,201.00","1,204.00","1,149.00","119.98K","-4.09"
"Sep 18, 2017","1,199.00","1,189.00","1,201.00","1,176.00","79.48K","2.13"
"Sep 15, 2017","1,174.00","1,199.00","1,208.00","1,174.00","297.49K","-2.09"
"Sep 14, 2017","1,199.00","1,160.00","1,199.00","1,160.00","147.97K","3.36"
"Sep 13, 2017","1,160.00","1,127.00","1,160.00","1,118.00","262.17K","3.66"
"Sep 11, 2017","1,119.00","1,128.00","1,130.00","1,117.00","157.70K","0.81"
"Sep 08, 2017","1,110.00","1,115.00","1,130.00","1,105.00","187.97K","0.00"
"Sep 07, 2017","1,110.00","1,106.00","1,119.00","1,106.00","158.95K","0.45"
"Sep 06, 2017","1,105.00","1,132.00","1,132.00","1,103.00","316.48K","-2.21"
"Sep 05, 2017","1,130.00","1,144.00","1,148.00","1,122.00","102.38K","-0.18"
"Sep 04, 2017","1,132.00","1,140.00","1,140.00","1,120.00","123.09K","1.25"
"Aug 31, 2017","1,118.00","1,130.00","1,130.00","1,117.00","158.24K","-0.97"
"Aug 30, 2017","1,129.00","1,143.00","1,143.00","1,126.00","125.47K","-0.09"
"Aug 29, 2017","1,130.00","1,140.00","1,153.00","1,124.00","154.01K","0.18"
"Aug 25, 2017","1,128.00","1,148.00","1,149.00","1,128.00","110.97K","-0.88"
"Aug 24, 2017","1,138.00","1,122.00","1,155.00","1,122.00","179.38K","1.61"
"Aug 23, 2017","1,120.00","1,130.00","1,145.00","1,118.00","229.28K","-0.88"
"Aug 22, 2017","1,130.00","1,150.00","1,150.00","1,128.00","172.26K","-1.31"
"Aug 18, 2017","1,145.00","1,170.00","1,180.00","1,139.00","137.60K","-2.22"
"Aug 17, 2017","1,171.00","1,199.00","1,199.00","1,165.00","102.33K","-0.76"
"Aug 16, 2017","1,180.00","1,180.00","1,186.00","1,172.00","136.73K","0.94"
"Aug 15, 2017","1,169.00","1,170.00","1,180.00","1,167.00","25.46K","0.17"
"Aug 14, 2017","1,167.00","1,160.00","1,174.00","1,160.00","147.94K","1.92"
"Aug 11, 2017","1,145.00","1,182.00","1,186.00","1,134.00","134.22K","-1.97"
"Aug 10, 2017","1,168.00","1,200.00","1,200.00","1,165.00","67.05K","-2.67"
"Aug 09, 2017","1,200.00","1,216.00","1,216.00","1,196.00","67.04K","-1.23"
"Aug 08, 2017","1,215.00","1,229.00","1,229.00","1,203.00","50.52K","-0.41"
"Aug 07, 2017","1,220.00","1,205.00","1,222.00","1,205.00","69.09K","1.67"
"Aug 04, 2017","1,200.00","1,196.00","1,210.00","1,196.00","37.96K","0.42"
"Aug 03, 2017","1,195.00","1,220.00","1,223.00","1,195.00","91.40K","-1.24"
"Aug 02, 2017","1,210.00","1,205.00","1,222.00","1,200.00","101.64K","0.83"
"Aug 01, 2017","1,200.00","1,213.00","1,220.00","1,198.00","134.11K","-1.07"
"Jul 31, 2017","1,213.00","1,251.00","1,251.00","1,206.00","106.47K","-2.33"
"Jul 28, 2017","1,242.00","1,257.00","1,257.00","1,241.00","70.20K","-1.19"
"Jul 27, 2017","1,257.00","1,236.00","1,268.00","1,236.00","239.78K","2.20"
"Jul 26, 2017","1,230.00","1,215.00","1,237.00","1,215.00","151.29K","1.57"
"Jul 25, 2017","1,211.00","1,212.00","1,215.00","1,206.00","93.73K","0.92"
"Jul 24, 2017","1,200.00","1,197.00","1,215.00","1,194.00","258.98K","0.42"
"Jul 21, 2017","1,195.00","1,230.00","1,230.00","1,187.00","354.78K","-2.85"
"Jul 20, 2017","1,230.00","1,238.00","1,244.00","1,229.00","119.01K","-0.81"
"Jul 19, 2017","1,240.00","1,242.00","1,260.00","1,232.00","188.06K","0.00"
"Jul 18, 2017","1,240.00","1,208.00","1,245.00","1,208.00","200.44K","2.73"
"Jul 17, 2017","1,207.00","1,207.00","1,207.00","1,199.00","202.85K","0.58"
"Jul 14, 2017","1,200.00","1,206.00","1,210.00","1,195.00","66.08K","0.00"
"Jul 13, 2017","1,200.00","1,202.00","1,213.00","1,195.00","201.82K","0.00"
"Jul 12, 2017","1,200.00","1,200.00","1,202.00","1,198.00","185.05K","0.42"
"Jul 11, 2017","1,195.00","1,195.00","1,207.00","1,195.00","41.30K","0.00"
"Jul 10, 2017","1,195.00","1,210.00","1,211.00","1,195.00","65.82K","-0.42"
"Jul 07, 2017","1,200.00","1,201.00","1,205.00","1,198.00","391.92K","-0.41"
"Jul 06, 2017","1,205.00","1,210.00","1,211.00","1,201.00","73.80K","-0.41"
"Jul 05, 2017","1,210.00","1,200.00","1,210.00","1,196.00","74.20K","0.58"
"Jul 04, 2017","1,203.00","1,202.00","1,208.00","1,200.00","16.97K","0.08"
"Jul 03, 2017","1,202.00","1,210.00","1,213.00","1,191.00","49.32K","-0.66"
"Jun 30, 2017","1,210.00","1,188.00","1,210.00","1,188.00","79.27K","1.68"
"Jun 29, 2017","1,190.00","1,204.00","1,210.00","1,188.00","83.54K","-1.24"
"Jun 28, 2017","1,205.00","1,202.00","1,208.00","1,199.00","201.04K","0.17"
"Jun 27, 2017","1,203.00","1,209.00","1,209.00","1,197.00","89.72K","-0.25"
"Jun 23, 2017","1,206.00","1,212.00","1,213.00","1,197.00","76.94K","0.00"
"Jun 22, 2017","1,206.00","1,208.00","1,215.00","1,201.00","170.05K","0.50"
